https://baijiahao.baidu.com/s?id=1694259746398204685&wfr=spider&for=pc,山东大学与国家文物局考古研究中心签署战略合作协议,2021年3月20日 12:57,百度新闻
https://baijiahao.baidu.com/s?id=1694182053807131266&wfr=spider&for=pc,山东大学与国家文物局将共建海洋考古研究中心,2021年3月14日 12:57,百度新闻
http://dy.163.com/article/G51G98HM05428ACG.html,辜鸿铭未任的山东大学校长,2021年3月14日 06:39,百度新闻
https://baijiahao.baidu.com/s?id=1694186894528594186&wfr=spider&for=pc,四川大学、山东大学和吉林大学之间应该怎么选?,2021年3月14日 14:15,百度新闻
http://www.sd.chinanews.com.cn/2/2021/0313/78071.html,山东大学与国家文物局考古研究中心达成战略合作,2021年3月13日 17:34,百度新闻
https://baijiahao.baidu.com/s?id=1694014848160546770&wfr=spider&for=pc,83秒|又是别人家的学校!山东大学上线自助售饭机 想吃啥自助点还能...,2021年3月12日 16:39,百度新闻
https://baijiahao.baidu.com/s?id=1693579837156415893&wfr=spider&for=pc,在什么地方考上山东大学的概率最高?不是山东,2021年3月7日 21:32,百度新闻
https://baijiahao.baidu.com/s?id=1693965263663112480&wfr=spider&for=pc,山东大学今年艺术类专业计划招生190人详表来了,2021年3月12日 03:32,百度新闻
https://baijiahao.baidu.com/s?id=1693096532802840325&wfr=spider&for=pc,山东院校排名:山东大学第1实至名归第4竟让人很意外,2021年3月2日 13:24,百度新闻
https://baijiahao.baidu.com/s?id=1694211596867062523&wfr=spider&for=pc,山东大学:学子说 | 孙亚杰:做哲学本身是件很幸福的事,2021年3月14日 20:48,百度新闻
https://baijiahao.baidu.com/s?id=1694005388164047086&wfr=spider&for=pc,山东大学第二医院进行火警应急演练,2021年3月12日 14:08,百度新闻
https://baijiahao.baidu.com/s?id=1693447758693289025&wfr=spider&for=pc,山东大学等高校辟谣!这些专业未撤销,2021年3月6日 10:27,百度新闻
https://baijiahao.baidu.com/s?id=1693905064259241548&wfr=spider&for=pc,山东大学与历城区座谈交流洪楼科学城建设工作,2021年3月11日 11:35,百度新闻
https://baijiahao.baidu.com/s?id=1692951163052891404&wfr=spider&for=pc,山东大学录取分数线及王牌专业介绍,2021年2月28日 23:27,百度新闻
https://baijiahao.baidu.com/s?id=1692990533451357595&wfr=spider&for=pc,山东大学和中山大学都是实力强校那么哪所实力更强,2021年3月1日 09:19,百度新闻
https://baijiahao.baidu.com/s?id=1693206196960512428&wfr=spider&for=pc,双一流大学——山东大学高考报考指南,2021年3月3日 18:27,百度新闻
https://baijiahao.baidu.com/s?id=1693288709792208360&wfr=spider&for=pc,山东大学考研近五年复试线汇总,2021年3月4日 16:19,百度新闻
https://baijiahao.baidu.com/s?id=1693308653218301866&wfr=spider&for=pc,为了祖国绝不后退半步!这场行动中还有一位山东大学生,2021年3月4日 21:36,百度新闻
https://baijiahao.baidu.com/s?id=1694180992345736485&wfr=spider&for=pc,泰安市立医院与山东大学齐鲁儿童医院正式签约合作,2021年3月14日 12:40,百度新闻
https://baijiahao.baidu.com/s?id=1693721981651313810&wfr=spider&for=pc,山东大学×历城区共建“洪楼科学城”!,2021年3月9日 11:05,百度新闻
https://baijiahao.baidu.com/s?id=1665509702644573233&wfr=spider&for=pc,山东大学青岛与威海同为异地办学性质等同吗?抓紧收藏,2021年3月3日 11:51,百度新闻
https://baijiahao.baidu.com/s?id=1693124911330608010&wfr=spider&for=pc,山东大学等4所高校的5个医学专业被撤销,2021年3月2日 20:55,百度新闻
https://baijiahao.baidu.com/s?id=1693884231908403570&wfr=spider&for=pc,全国人大代表、山东大学校长樊丽明:发展更高质量的教育,2021年3月11日 05:43,百度新闻
https://baijiahao.baidu.com/s?id=1693261757724864804&wfr=spider&for=pc,山东大学新增密码科学与技术专业 设在青岛校区,2021年3月4日 09:09,百度新闻
https://baijiahao.baidu.com/s?id=1693731446167665402&wfr=spider&for=pc,山大二院在山东大学纪念三八国际劳动妇女节先进表彰会获多项荣誉,2021年3月9日 13:36,百度新闻
https://baijiahao.baidu.com/s?id=1693744292917682376&wfr=spider&for=pc,话说山东大学首任校长、清末状元王寿彭的“贵人”,2021年3月9日 17:17,百度新闻
https://baijiahao.baidu.com/s?id=1692930196655046597&wfr=spider&for=pc,山东大学历史文化学院时潇含:悠悠文心 笔底乾坤,2021年2月28日 17:20,百度新闻
https://baijiahao.baidu.com/s?id=1693171092242267279&wfr=spider&for=pc,教育部撤销518个高校专业山东大学俩专业被撤原因在这里,2021年3月3日 09:09,百度新闻
https://baijiahao.baidu.com/s?id=1692831519379085395&wfr=spider&for=pc,这两所大学南京医科大与山东大学口腔医学专业实力哪所更强,2021年2月27日 15:12,百度新闻
https://baijiahao.baidu.com/s?id=1693629935627648636&wfr=spider&for=pc,山东大学举行纪念“三八”国际劳动妇女节111周年暨先进表彰会,2021年3月8日 10:42,百度新闻
